,year,month,week,Date,D,F,T,P,I
258,2021,Sep,37,9/15/2021,1908800,2793536.29,887700,6297639.96,696760.5
259,2021,Sep,37,9/16/2021,1517500,5010200.69,190000,3074125.5,370539
260,2021,Sep,38,9/17/2021,2710445,7774297.91,220000,16827101.71,103000
261,2021,Sep,38,9/18/2021,178000,1970311.39,180000,NA,NA
262,2021,Sep,38,9/19/2021,333000,2085513.83,190000,NA,105000
263,2021,Sep,38,9/20/2021,2862005,4212034.72,1051000,9612038.04,299960
264,2021,Sep,38,9/21/2021,2296776.67,3365073.81,340000,6813956.16,360000
265,2021,Sep,38,9/22/2021,2140500,6814021.32,728487.37,2975827.31,295300
266,2021,Sep,38,9/23/2021,2874078.05,4865957.3,314000,2988389.97,99500
267,2021,Sep,39,9/24/2021,4709359,6266007.29,821000,7464005.8,333100
268,2021,Sep,39,9/25/2021,1277500,2322327.36,156300,NA,267820
269,2021,Sep,39,9/26/2021,575741.26,1309819.9,44700,NA,149400
270,2021,Sep,39,9/27/2021,2974306.3,6376400.31,659100,6416828.49,934568.58
271,2021,Sep,39,9/28/2021,3479617.94,6278714.18,1014300,7029746.685,570780.57
272,2021,Sep,39,9/29/2021,6416172,12138198.4,1384000,11977065.51,913020
273,2021,Sep,39,9/30/2021,11486350.18,14258247.65,1819100,22385029.72,2517754.95
274,2021,Oct,40,10/1/2021,4898710,4085844.52,490000,1422602.86,290943.57
275,2021,Oct,40,10/2/2021,636000,1687546.87,653845.58,NA,60497.4
276,2021,Oct,40,10/3/2021,785500,616813.15,150000,NA,15000
277,2021,Oct,40,10/4/2021,2670952.66,4890010.29,590000,2896100.88,407040
278,2021,Oct,40,10/5/2021,2535843.31,3992995.05,232416.14,3321902.57,360676
279,2021,Oct,40,10/6/2021,1745105,5167969.02,814800,3603204.31,263780
280,2021,Oct,40,10/7/2021,1032788,2953689.44,620000,1781328.62,43000
281,2021,Oct,41,10/8/2021,2924408.94,4315794.18,460000,8373295.46,544596.54
282,2021,Oct,41,10/9/2021,635770,1725103.15,132023.45,NA,10000
283,2021,Oct,41,10/10/2021,156500,1029905.07,NA,NA,NA
284,2021,Oct,41,10/11/2021,3047875.16,4308322.81,60000,10098279.16,205000
285,2021,Oct,41,10/12/2021,1212945,2384401.2,540000,11548671.16,64500
286,2021,Oct,41,10/13/2021,1249987.5,5339157,199000,2589741.18,496200
287,2021,Oct,41,10/14/2021,2593814.95,3499897.73,105000,3717639.35,33060
288,2021,Oct,42,10/15/2021,1877400.27,4279762.55,213000,11571188.35,684860
289,2021,Oct,42,10/16/2021,989000,780343.19,140000,NA,12500
290,2021,Oct,42,10/17/2021,132773.24,369347.34,1.00E+05,NA,NA
291,2021,Oct,42,10/18/2021,921126.29,2895573.78,381000,27324095.01,41500
